Days,Well_ID,Oil_Rate,Gas_Rate,Water_Rate,lat,lon
1,Well 1,357 ,0 ,0 ,31.329833,-101.131360
2,Well 1,247 ,0 ,0 ,31.329833,-101.131360
3,Well 1,953 ,0 ,0 ,31.329833,-101.131360
4,Well 1,660 ,111 ,"1,147 ",31.329833,-101.131360
5,Well 1,"1,159 ",303 ,866 ,31.329833,-101.131360
6,Well 1,9 ,151 ,96 ,31.329833,-101.131360
7,Well 1,511 ,376 ,757 ,31.329833,-101.131360
8,Well 1,"1,032 ",562 ,988 ,31.329833,-101.131360
9,Well 1,902 ,478 ,880 ,31.329833,-101.131360
10,Well 1,"1,075 ",464 ,852 ,31.329833,-101.131360
11,Well 1,666 ,461 ,826 ,31.329833,-101.131360
12,Well 1,680 ,470 ,744 ,31.329833,-101.131360
13,Well 1,664 ,511 ,789 ,31.329833,-101.131360
14,Well 1,645 ,469 ,673 ,31.329833,-101.131360
15,Well 1,846 ,455 ,626 ,31.329833,-101.131360
16,Well 1,258 ,447 ,590 ,31.329833,-101.131360
17,Well 1,619 ,445 ,566 ,31.329833,-101.131360
18,Well 1,699 ,431 ,539 ,31.329833,-101.131360
19,Well 1,440 ,381 ,449 ,31.329833,-101.131360
20,Well 1,468 ,317 ,352 ,31.329833,-101.131360
21,Well 1,503 ,351 ,381 ,31.329833,-101.131360
22,Well 1,543 ,386 ,382 ,31.329833,-101.131360
23,Well 1,614 ,380 ,367 ,31.329833,-101.131360
24,Well 1,457 ,382 ,362 ,31.329833,-101.131360
25,Well 1,545 ,390 ,370 ,31.329833,-101.131360
26,Well 1,562 ,400 ,383 ,31.329833,-101.131360
27,Well 1,580 ,410 ,417 ,31.329833,-101.131360
28,Well 1,579 ,405 ,387 ,31.329833,-101.131360
29,Well 1,562 ,389 ,386 ,31.329833,-101.131360
30,Well 1,556 ,389 ,362 ,31.329833,-101.131360
31,Well 1,541 ,376 ,346 ,31.329833,-101.131360
32,Well 1,536 ,363 ,339 ,31.329833,-101.131360
33,Well 1,517 ,400 ,343 ,31.329833,-101.131360
34,Well 1,389 ,390 ,356 ,31.329833,-101.131360
35,Well 1,614 ,403 ,319 ,31.329833,-101.131360
36,Well 1,527 ,383 ,333 ,31.329833,-101.131360
37,Well 1,486 ,400 ,314 ,31.329833,-101.131360
38,Well 1,896 ,404 ,321 ,31.329833,-101.131360
39,Well 1,128 ,412 ,309 ,31.329833,-101.131360
40,Well 1,516 ,444 ,318 ,31.329833,-101.131360
41,Well 1,507 ,462 ,331 ,31.329833,-101.131360
42,Well 1,495 ,453 ,367 ,31.329833,-101.131360
43,Well 1,465 ,435 ,304 ,31.329833,-101.131360
44,Well 1,480 ,440 ,315 ,31.329833,-101.131360
45,Well 1,486 ,444 ,309 ,31.329833,-101.131360
46,Well 1,476 ,463 ,318 ,31.329833,-101.131360
47,Well 1,474 ,474 ,322 ,31.329833,-101.131360
48,Well 1,472 ,464 ,290 ,31.329833,-101.131360
49,Well 1,370 ,430 ,283 ,31.329833,-101.131360
50,Well 1,432 ,404 ,248 ,31.329833,-101.131360
51,Well 1,415 ,409 ,249 ,31.329833,-101.131360
52,Well 1,432 ,409 ,249 ,31.329833,-101.131360
53,Well 1,395 ,411 ,237 ,31.329833,-101.131360
54,Well 1,460 ,400 ,223 ,31.329833,-101.131360
55,Well 1,398 ,411 ,232 ,31.329833,-101.131360
56,Well 1,428 ,453 ,270 ,31.329833,-101.131360
57,Well 1,413 ,450 ,238 ,31.329833,-101.131360
58,Well 1,415 ,506 ,285 ,31.329833,-101.131360
59,Well 1,426 ,552 ,278 ,31.329833,-101.131360
60,Well 1,264 ,306 ,357 ,31.329833,-101.131360
61,Well 1,272 ,517 ,180 ,31.329833,-101.131360
62,Well 1,0 ,7 ,0 ,31.329833,-101.131360
63,Well 1,0 ,0 ,0 ,31.329833,-101.131360
64,Well 1,554 ,168 ,253 ,31.329833,-101.131360
65,Well 1,654 ,469 ,302 ,31.329833,-101.131360
66,Well 1,508 ,515 ,275 ,31.329833,-101.131360
67,Well 1,663 ,768 ,400 ,31.329833,-101.131360
68,Well 1,667 ,"1,213 ",367 ,31.329833,-101.131360
69,Well 1,870 ,"1,133 ",494 ,31.329833,-101.131360
70,Well 1,225 ,"1,074 ",458 ,31.329833,-101.131360
71,Well 1,513 ,"1,112 ",448 ,31.329833,-101.131360
72,Well 1,486 ,"1,065 ",407 ,31.329833,-101.131360
73,Well 1,471 ,"1,026 ",396 ,31.329833,-101.131360
74,Well 1,451 ,968 ,374 ,31.329833,-101.131360
75,Well 1,439 ,978 ,362 ,31.329833,-101.131360
76,Well 1,278 ,516 ,189 ,31.329833,-101.131360
77,Well 1,470 ,830 ,409 ,31.329833,-101.131360
78,Well 1,429 ,"1,081 ",373 ,31.329833,-101.131360
79,Well 1,395 ,780 ,321 ,31.329833,-101.131360
80,Well 1,390 ,477 ,329 ,31.329833,-101.131360
81,Well 1,412 ,"1,006 ",362 ,31.329833,-101.131360
82,Well 1,410 ,981 ,344 ,31.329833,-101.131360
83,Well 1,360 ,925 ,323 ,31.329833,-101.131360
84,Well 1,389 ,983 ,320 ,31.329833,-101.131360
85,Well 1,374 ,947 ,316 ,31.329833,-101.131360
86,Well 1,372 ,895 ,309 ,31.329833,-101.131360
87,Well 1,347 ,888 ,294 ,31.329833,-101.131360
88,Well 1,367 ,879 ,261 ,31.329833,-101.131360
89,Well 1,314 ,810 ,269 ,31.329833,-101.131360
90,Well 1,319 ,717 ,216 ,31.329833,-101.131360
91,Well 1,364 ,741 ,276 ,31.329833,-101.131360
92,Well 1,325 ,808 ,256 ,31.329833,-101.131360
93,Well 1,324 ,722 ,251 ,31.329833,-101.131360
94,Well 1,333 ,731 ,253 ,31.329833,-101.131360
95,Well 1,296 ,775 ,287 ,31.329833,-101.131360
96,Well 1,297 ,691 ,257 ,31.329833,-101.131360
97,Well 1,310 ,665 ,242 ,31.329833,-101.131360
98,Well 1,369 ,675 ,236 ,31.329833,-101.131360
99,Well 1,261 ,676 ,223 ,31.329833,-101.131360
100,Well 1,281 ,679 ,220 ,31.329833,-101.131360
101,Well 1,324 ,644 ,224 ,31.329833,-101.131360
102,Well 1,292 ,623 ,231 ,31.329833,-101.131360
103,Well 1,270 ,698 ,224 ,31.329833,-101.131360
104,Well 1,314 ,695 ,219 ,31.329833,-101.131360
105,Well 1,294 ,678 ,229 ,31.329833,-101.131360
106,Well 1,291 ,676 ,213 ,31.329833,-101.131360
107,Well 1,287 ,676 ,211 ,31.329833,-101.131360
108,Well 1,286 ,667 ,214 ,31.329833,-101.131360
109,Well 1,316 ,667 ,210 ,31.329833,-101.131360
110,Well 1,261 ,670 ,208 ,31.329833,-101.131360
111,Well 1,287 ,669 ,210 ,31.329833,-101.131360
112,Well 1,277 ,661 ,200 ,31.329833,-101.131360
113,Well 1,294 ,661 ,211 ,31.329833,-101.131360
114,Well 1,245 ,683 ,217 ,31.329833,-101.131360
115,Well 1,309 ,693 ,204 ,31.329833,-101.131360
116,Well 1,261 ,660 ,190 ,31.329833,-101.131360
117,Well 1,280 ,647 ,201 ,31.329833,-101.131360
118,Well 1,279 ,666 ,209 ,31.329833,-101.131360
119,Well 1,263 ,665 ,187 ,31.329833,-101.131360
120,Well 1,262 ,640 ,190 ,31.329833,-101.131360
121,Well 1,273 ,724 ,205 ,31.329833,-101.131360
122,Well 1,246 ,647 ,183 ,31.329833,-101.131360
123,Well 1,273 ,592 ,191 ,31.329833,-101.131360
124,Well 1,206 ,657 ,266 ,31.329833,-101.131360
125,Well 1,226 ,702 ,241 ,31.329833,-101.131360
126,Well 1,238 ,649 ,209 ,31.329833,-101.131360
127,Well 1,343 ,613 ,200 ,31.329833,-101.131360
128,Well 1,253 ,606 ,190 ,31.329833,-101.131360
129,Well 1,251 ,607 ,178 ,31.329833,-101.131360
130,Well 1,402 ,608 ,201 ,31.329833,-101.131360
131,Well 1,106 ,618 ,190 ,31.329833,-101.131360
132,Well 1,252 ,666 ,189 ,31.329833,-101.131360
133,Well 1,274 ,652 ,197 ,31.329833,-101.131360
134,Well 1,232 ,659 ,207 ,31.329833,-101.131360
135,Well 1,254 ,643 ,152 ,31.329833,-101.131360
136,Well 1,269 ,630 ,192 ,31.329833,-101.131360
137,Well 1,224 ,615 ,204 ,31.329833,-101.131360
138,Well 1,242 ,591 ,178 ,31.329833,-101.131360
139,Well 1,249 ,604 ,162 ,31.329833,-101.131360
140,Well 1,247 ,630 ,172 ,31.329833,-101.131360
141,Well 1,236 ,629 ,179 ,31.329833,-101.131360
142,Well 1,242 ,626 ,176 ,31.329833,-101.131360
143,Well 1,240 ,627 ,177 ,31.329833,-101.131360
144,Well 1,224 ,606 ,168 ,31.329833,-101.131360
145,Well 1,235 ,590 ,168 ,31.329833,-101.131360
146,Well 1,225 ,595 ,174 ,31.329833,-101.131360
147,Well 1,236 ,596 ,161 ,31.329833,-101.131360
148,Well 1,226 ,585 ,157 ,31.329833,-101.131360
149,Well 1,232 ,600 ,172 ,31.329833,-101.131360
150,Well 1,251 ,603 ,173 ,31.329833,-101.131360
151,Well 1,227 ,608 ,162 ,31.329833,-101.131360
152,Well 1,236 ,598 ,198 ,31.329833,-101.131360
153,Well 1,222 ,583 ,159 ,31.329833,-101.131360
154,Well 1,252 ,580 ,201 ,31.329833,-101.131360
155,Well 1,186 ,537 ,130 ,31.329833,-101.131360
156,Well 1,229 ,596 ,158 ,31.329833,-101.131360
